City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Tiksi,RU,71.69,128.87,-8.95,85,0,4.29,clear sky
121,San Patricio,US,28.02,-97.52,72.0,88,1,6.93,clear sky
122,Zemio,CF,5.03,25.14,73.69,85,84,2.95,broken clouds
123,Choma,ZM,-16.81,26.95,86.38,18,99,10.96,overcast clouds
124,Kapaa,US,22.08,-159.32,78.8,74,75,16.11,broken clouds
125,Miles City,US,46.41,-105.84,17.6,61,90,18.34,overcast clouds
126,Kavieng,PG,-2.57,150.8,84.4,65,49,1.92,scattered clouds
127,Ilula,TZ,-7.68,36.04,69.8,56,20,11.41,few clouds
128,Sao Filipe,CV,14.9,-24.5,79.3,76,1,8.12,clear sky
129,Pilar,BR,-9.6,-35.96,77.0,88,75,3.36,broken clouds
130,Arkhara,RU,49.42,130.08,12.65,88,50,11.43,scattered clouds
131,Ribeira Grande,PT,38.52,-28.7,61.57,68,86,17.36,overcast clouds
132,Sinnamary,GF,5.38,-52.95,77.97,83,4,12.24,clear sky
133,Russell,US,32.35,-85.2,69.8,83,75,5.82,broken clouds
134,Tasiilaq,GL,65.61,-37.64,33.71,94,100,39.21,overcast clouds
135,Port Lincoln,AU,-34.73,135.87,76.86,34,35,18.66,scattered clouds
136,Ayan,RU,56.45,138.17,8.28,87,0,16.6,clear sky
137,Grootfontein,NA,-19.57,18.12,77.83,28,39,13.85,scattered clouds
138,Tazovskiy,RU,67.47,78.7,9.25,96,99,10.83,overcast clouds
139,Grindavik,IS,63.84,-22.43,42.8,93,75,24.16,light intensity drizzle
140,Kuybyshevo,RU,47.81,38.91,49.12,75,68,6.11,broken clouds
141,Galle,LK,6.04,80.22,84.92,66,28,3.36,scattered clouds
142,Souillac,MU,-20.52,57.52,75.2,83,75,11.41,shower rain
143,Kariba,ZW,-16.52,28.8,89.15,25,83,5.95,broken clouds
144,Richards Bay,ZA,-28.78,32.04,74.93,80,85,9.42,overcast clouds
145,Kerema,PG,-7.96,145.78,82.08,81,100,5.79,overcast clouds
146,Tiarei,PF,-17.53,-149.33,78.8,69,75,3.36,broken clouds
147,Cayenne,GF,4.93,-52.33,75.2,100,5,11.32,clear sky
148,Saskylakh,RU,71.92,114.08,-3.82,85,79,18.57,broken clouds
149,Kampene,CD,-3.6,26.67,74.03,87,100,2.01,overcast clouds
150,Matale,LK,7.47,80.62,81.79,75,84,4.74,moderate rain
151,Leningradskiy,RU,69.38,178.42,19.74,93,100,5.91,overcast clouds
152,San Cristobal,VE,7.77,-72.22,65.41,88,67,1.63,broken clouds
153,Male,MV,4.17,73.51,86.0,79,75,9.17,broken clouds
154,Bambous Virieux,MU,-20.34,57.76,79.0,83,75,11.41,shower rain
155,Kalmunai,LK,7.42,81.82,86.18,66,57,7.54,broken clouds
156,Bethel,US,41.37,-73.41,48.0,93,1,1.92,clear sky
157,Chebsara,RU,59.2,38.84,28.4,86,0,4.47,clear sky
158,Castro,BR,-24.79,-50.01,59.32,91,98,4.25,overcast clouds
159,Tilichiki,RU,60.47,166.1,7.92,94,59,11.72,broken clouds
160,Kaitangata,NZ,-46.28,169.85,52.0,73,94,8.01,overcast clouds
161,Avarua,CK,-21.21,-159.78,75.2,78,99,6.93,overcast clouds
162,Eyl,SO,7.98,49.82,84.58,57,0,19.77,clear sky
163,Invermere,CA,50.52,-116.04,26.01,57,41,2.82,scattered clouds
164,Bengkulu,ID,-3.8,102.27,79.84,79,98,5.17,overcast clouds
165,Asfi,MA,32.3,-9.24,63.5,70,21,5.39,few clouds
166,Kurilsk,RU,45.23,147.88,37.47,78,100,23.26,overcast clouds
167,Lompoc,US,34.64,-120.46,51.8,57,1,9.17,clear sky
168,Siguiri,GN,11.67,-9.5,67.03,27,0,0.74,clear sky
169,Ternate,ID,0.8,127.4,83.41,72,65,10.98,broken clouds
170,Berbera,SO,10.44,45.01,82.15,60,20,2.13,few clouds
171,Opuwo,NA,-18.06,13.84,72.95,31,64,5.1,broken clouds
172,Sterling,US,39.01,-77.43,57.99,93,40,2.71,fog
173,Urucara,BR,-2.54,-57.76,74.97,95,78,1.1,broken clouds
174,Constantine,DZ,36.37,6.61,48.2,61,0,4.7,clear sky
175,Norrtalje,SE,59.76,18.7,52.0,24,95,4.74,overcast clouds
176,Upernavik,GL,72.79,-56.15,-5.21,79,0,11.21,clear sky
177,Tuatapere,NZ,-46.13,167.68,55.0,73,87,7.0,overcast clouds
178,Christchurch,NZ,-43.53,172.63,55.99,71,94,11.41,overcast clouds
179,Morant Bay,JM,17.88,-76.41,77.0,100,75,8.05,broken clouds
180,Waterloo,CA,43.47,-80.52,46.4,93,1,5.53,clear sky
181,La Rioja,ES,42.25,-2.5,51.01,93,20,2.24,few clouds
182,Sindor,RU,62.86,51.89,29.01,97,88,9.35,overcast clouds
183,Makurdi,NG,7.74,8.51,74.77,70,65,3.6,broken clouds
184,Dongsheng,CN,39.82,109.98,46.27,47,0,4.14,clear sky
185,Hobyo,SO,5.35,48.53,83.3,73,56,16.75,light rain
186,Puerto Baquerizo Moreno,EC,-0.9,-89.6,66.24,82,42,10.76,scattered clouds
187,Esmeralda,CU,21.85,-78.12,74.98,90,31,10.0,scattered clouds
188,Sambava,MG,-14.27,50.17,78.84,66,100,12.33,overcast clouds
189,Yamethin,MM,20.43,96.15,82.9,73,1,7.7,clear sky
190,Borovoy,RU,55.43,86.08,41.0,75,40,15.66,scattered clouds
191,Pokhara,NP,28.23,83.98,77.86,29,0,5.21,clear sky
192,Mehamn,NO,71.04,27.85,32.0,85,75,5.82,broken clouds
193,Vardo,NO,70.37,31.11,30.2,92,40,9.17,shower rain
194,Meulaboh,ID,4.14,96.13,84.92,67,67,4.85,broken clouds
195,Nikolskoye,RU,59.7,30.79,37.99,86,75,8.95,broken clouds
196,Arlit,NE,18.74,7.39,66.33,34,0,7.31,clear sky
197,Harlingen,US,26.19,-97.7,70.0,100,1,4.7,clear sky
198,Arraial Do Cabo,BR,-22.97,-42.03,73.31,95,53,2.98,broken clouds
199,San Quintin,MX,30.48,-115.95,61.72,63,36,20.29,scattered clouds
200,Ilhabela,BR,-23.78,-45.36,69.58,87,33,5.26,scattered clouds
201,Whitehorse,CA,60.72,-135.05,32.0,94,75,17.22,broken clouds
202,Salinopolis,BR,-0.61,-47.36,80.11,80,26,11.25,scattered clouds
203,Cuiluan,CN,47.72,128.65,20.1,80,17,10.04,few clouds
204,Najran,SA,17.49,44.13,69.8,32,0,2.24,clear sky
205,Haines Junction,CA,60.75,-137.51,37.4,64,99,10.29,overcast clouds
206,Kwinana,AU,-32.25,115.77,63.0,87,90,24.16,shower rain
207,Banda Aceh,ID,5.56,95.32,83.61,71,94,5.68,overcast clouds
208,Wukari,NG,7.85,9.78,71.91,50,1,2.73,clear sky
209,Harper,LR,4.38,-7.72,77.34,84,87,3.53,light rain
210,Le Port,RE,-20.94,55.29,82.4,61,0,23.04,clear sky
211,Mar Del Plata,AR,-38.0,-57.56,61.0,100,90,5.82,overcast clouds
212,Pahrump,US,36.21,-115.98,39.0,83,48,1.01,scattered clouds
213,Mocuba,MZ,-16.84,36.99,95.4,28,0,7.36,clear sky
214,Smithers,CA,54.78,-127.17,26.6,79,90,1.28,overcast clouds
215,Razdolnoye,RU,43.55,131.92,75.42,22,57,11.18,broken clouds
216,Cidreira,BR,-30.18,-50.21,67.96,88,100,15.01,moderate rain
217,Karlskrona,SE,56.16,15.59,46.4,93,100,4.09,overcast clouds
218,Lebu,CL,-37.62,-73.65,51.19,93,59,16.15,broken clouds
219,Povenets,RU,62.85,34.83,34.12,88,36,13.85,scattered clouds
220,Severo-Kurilsk,RU,50.68,156.12,35.71,93,100,23.73,overcast clouds
221,Coos Bay,US,43.37,-124.22,35.6,93,1,4.7,clear sky
222,Zhongshu,CN,24.52,103.77,59.45,65,93,4.36,overcast clouds
223,Gidole,ET,5.65,37.37,60.93,94,85,1.61,light rain
224,Ukiah,US,39.15,-123.21,39.2,64,1,2.95,clear sky
225,Chuy,UY,-33.7,-53.46,58.87,88,63,6.93,broken clouds
226,Labuhan,ID,-6.88,112.21,92.28,45,98,4.25,overcast clouds
227,Ahuimanu,US,21.44,-157.84,80.6,65,75,11.41,broken clouds
228,Kudat,MY,6.88,116.85,84.2,79,20,4.7,few clouds
229,Quatre Cocos,MU,-20.21,57.76,79.0,83,75,11.41,shower rain
230,Zhigansk,RU,66.77,123.37,-13.23,89,17,8.61,few clouds
231,Deder,ET,9.32,41.45,63.23,61,5,0.34,clear sky
232,Norman Wells,CA,65.28,-126.83,12.2,92,75,2.24,broken clouds
233,Balsas,BR,-7.53,-46.04,75.11,70,1,2.39,clear sky
234,Araouane,ML,18.9,-3.53,75.11,20,0,9.01,clear sky
235,Malakal,SS,9.53,31.66,81.72,27,25,6.85,scattered clouds
236,Coahuayana,MX,18.73,-103.68,73.53,81,20,3.4,few clouds
237,Sainte-Thecle,CA,46.82,-72.5,37.4,97,66,2.24,broken clouds
238,Luderitz,NA,-26.65,15.16,61.93,52,0,27.16,clear sky
239,Kumluca,TR,36.37,30.29,70.39,34,7,4.9,clear sky
240,Salamanca,ES,40.83,-6.0,46.99,100,90,1.12,fog
241,Jizan,SA,17.33,42.67,82.4,74,0,10.29,clear sky
242,Shihezi,CN,44.3,86.03,48.56,45,78,12.01,broken clouds
243,Bonavista,CA,48.65,-53.11,33.01,86,92,5.82,overcast clouds
244,Balkanabat,TM,39.51,54.37,55.08,49,0,5.64,clear sky
245,Olinda,BR,-8.01,-34.86,77.0,100,75,9.17,broken clouds
246,Vostok,RU,46.49,135.88,16.97,92,100,9.46,overcast clouds
247,Laguna,US,38.42,-121.42,46.99,36,1,9.17,clear sky
248,Manggar,ID,-2.88,108.27,85.23,66,99,8.88,overcast clouds
