City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
315,Rincon,US,71.6,broken clouds,32.3,-81.24,Bent tree subdivision
317,Pantai Remis,MY,86.0,few clouds,4.46,100.63,Leisure Homestay
319,Gold Coast,AU,73.99,overcast clouds,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
321,Ballina,AU,71.6,broken clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
322,Monrovia,LR,77.13,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
326,Chikhli,IN,78.46,clear sky,20.35,76.25,Madarsa Block
327,Itoman,JP,75.2,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
336,Swan Hill,AU,87.19,scattered clouds,-35.34,143.55,Lazy River Motor Inn
338,Ikom,NG,74.19,broken clouds,5.97,8.71,Reho Farm & Resort
339,Jacqueville,CI,75.2,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
340,Namatanai,PG,83.89,light rain,-3.67,152.43,Namatanai Hotel
343,Mabaruma,GY,72.27,light rain,8.2,-59.78,
344,Raposa,BR,71.94,clear sky,-6.52,-44.18,Hotel Veloso
348,Port Blair,IN,75.2,moderate rain,11.67,92.75,Fortune Resort Bay Island
349,Nouakchott,MR,81.7,scattered clouds,18.09,-15.98,Hôtel Iman
350,Caravelas,BR,72.63,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
354,Makakilo City,US,80.6,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
356,Mazagao,BR,77.0,clear sky,-0.12,-51.29,Casa Lima Santos
357,Airai,TL,79.05,overcast clouds,-8.93,125.41,Juvinal Martin
363,Manaus,BR,78.8,scattered clouds,-3.1,-60.02,Hotel do Largo
366,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
367,Touros,BR,75.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
369,Dzilam Gonzalez,MX,74.48,scattered clouds,21.28,-88.93,Amina
372,Tera,NE,72.41,broken clouds,14.01,0.75,Hotel Dar es salam
374,Caraballeda,VE,72.0,broken clouds,10.61,-66.85,Hotel 15 Letras
375,Sao Raimundo Das Mangabeiras,BR,75.88,clear sky,-7.02,-45.48,Hotel Tropical
376,Sao Joao Da Barra,BR,74.1,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
379,Chabahar,IR,82.4,clear sky,25.29,60.64,هتل گدروشیا
